"CT_site","Conservancy","n_days_sampled","n_images","n_days_detected","Species","prop_detected","popdens_log","closed_250m","closed_lc","agri_lc","distance_to_water","livestock_pressure"
"NB49","Naboisho",39,14,13,"hare",0.333333333333333,2.33341041673798,0.142857142857143,0.142857142857143,0,0.3,0.58974358974359
"NB47","Naboisho",44,2,2,"hare",0.0454545454545455,2.05903697777896,0.596330275229358,0.596330275229358,0,0.108166542053223,0.159090909090909
"NB46","Naboisho",29,5,4,"hare",0.137931034482759,2.45393709571836,0.383561643835616,0.383561643835617,0,0.268328155517578,0.103448275862069
"NB44","Naboisho",29,1,1,"hare",0.0344827586206897,2.68919085920026,0.831050228310502,0.831050228310502,0,0.5939697265625,0.172413793103448
"NB37","Naboisho",44,22,18,"hare",0.409090909090909,2.54083265776133,0.178082191780822,0.178082191780822,0,0.797119812011719,0.0681818181818182
"NB38","Naboisho",44,2,2,"hare",0.0454545454545455,2.65967042199755,0.223744292237443,0.223744292237443,0,0.597745788574219,0.113636363636364
"NB20","Naboisho",45,1,1,"hare",0.0222222222222222,2.9125116203335,0.990867579908676,0.990867579908676,0,1.03097045898437,0
"NB19","Naboisho",25,1,1,"hare",0.04,2.70249730997426,0.490909090909091,0.490909090909091,0,0.715611633300781,0.36
"NB12","Naboisho",44,0,0,NA,0,3.15437075429226,0.495412844036697,0.495412844036697,0,1.05342297363281,0.0227272727272727
"NB11","Naboisho",44,1,1,"hare",0.0227272727272727,2.93823806688782,0.622727272727273,0.622727272727272,0,0.108166542053223,0.0681818181818182
"NB28","Naboisho",45,1,1,"hare",0.0222222222222222,2.40778990901562,0.0137614678899083,0.0137614678899082,0,0.60074951171875,0.222222222222222
"NB35","Naboisho",44,1,1,"hare",0.0227272727272727,2.42174848279168,0.799086757990868,0.799086757990868,0,0.218403289794922,0.409090909090909
"NB34","Naboisho",43,6,5,"hare",0.116279069767442,2.53479153193393,0.598130841121495,0.598130841121495,0,0.782304260253906,0.348837209302326
"NB26","Naboisho",44,0,0,NA,0,2.42394810083688,0.170506912442396,0.170506912442396,0,0.45,0.159090909090909
"NB27","Naboisho",45,8,7,"hare",0.155555555555556,2.20295284821969,0.954337899543379,0.954337899543379,0,0.632850708007813,0.244444444444444
"NB18","Naboisho",35,0,0,NA,0,2.40078160463469,0.82648401826484,0.82648401826484,0,0.759539306640625,0
"NB17","Naboisho",33,0,0,NA,0,2.23888543918511,0.781818181818182,0.781818181818182,0,0.60074951171875,0
"NB09","Naboisho",27,6,4,"hare",0.148148148148148,2.32535376573162,0.977064220183486,0.977064220183486,0,0.637808776855469,0
"NB10","Naboisho",29,0,0,NA,0,2.75680060487827,0.559090909090909,0.559090909090909,0,0.513517272949219,0.0689655172413793
"NB05","Naboisho",43,9,8,"hare",0.186046511627907,2.83981648540134,0.191780821917808,0.191780821917808,0,0.416773315429687,0.116279069767442
